Personal Opinion: DOBBS V. JACKSON (Group A),Court Ruling: DOBBS V. JACKSON (Group A),Personal Opinion: DOBBS V. JACKSON (GROUP B),Court Ruling: DOBBS V. JACKSON (Group B),Personal Opinion: ROE V. WADE,Court Ruling: ROE V. WADE,Personal Opinion: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group A),Court Ruling: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group A),Personal Opinion: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group B),Court Ruling: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group B),Personal Opinion: CARSON V. MAKIN (Group A),Court Opinion: CARSON V. MAKIN (Group A),Personal Opinion: CARSON V. MAKIN (Group B),Court Opinion: CARSON V. MAKIN (Group B),Personal Opinion: U.S. V. ZUBAYDAH (GROUP A),Court Ruling: : U.S. V. ZUBAYDAH (GROUP A),Personal Opinion: U.S. V. ZUBAYDAH (GROUP B),Court Ruling: U.S. V. ZUBAYDAH (GROUP B),Personal Opinion: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group A),Court Ruling: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group A),Personal Opinion: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group B),Court Ruling: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group B),Personal Opinion: RAMIREZ V. COLLIER (Group A),Court Ruling: RAMIREZ V. COLLIER (Group A),Personal Opinion: RAMIREZ V. COLLIER (Group B),Court Ruling: RAMIREZ V. COLLIER (Group B),Personal Opinion: SHURTLEFF V. BOSTON (Group A),Court Ruling: SHURTLEFF V. BOSTON (Group A),Personal Opinion: SHURTLEFF V. BOSTON (Group B),Court Ruling: SHURTLEFF V. BOSTON (Group B),"Personal Opinion: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group A)","Court Ruling: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group A)","Personal Opinion: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group B)","Court Ruling: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group B)",Personal Opinion: BIDEN V. MISSOURI (Group A),Court Opinion: BIDEN V. MISSOURI (Group A),Personal Opinion: BIDEN V. MISSOURI (Group B),Court Opinion: BIDEN V. MISSOURI (Group B),Personal Opinion: WEST VIRGINIA V. EPA (Group A),Court Ruling: WEST VIRGINIA V. EPA (Group A),Personal Opinion: WEST VIRGINIA V. EPA (Group B),Court Ruling: WEST VIRGINIA V. EPA (Group B),Personal Opinion: TRUMP V. THOMPSON (Group A),Court Ruling: TRUMP V. THOMPSON (Group A),Personal Opinion: TRUMP V. THOMPSON (Group B),Court Ruling: TRUMP V. THOMPSON (Group B),Personal Opinion: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group A),Court Ruling: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group A),Personal Opinion: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group B),Court Ruling: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group B),Personal Opinion: BIDEN V. TEXAS (Group A),Court Ruling: BIDEN V. TEXAS (Group A),Personal Opinion: BIDEN V. TEXAS (Group B),Court Ruling: BIDEN V. TEXAS (Group B),Personal Opinion: OKLAHOMA V. CASTRO-HUERTA (Group A),Court Ruling: OKLAHOMA V. CASTRO-HUERTA (Group A),Personal Opinion: OKLAHOMA V. CASTRO-HUERTA (Group B),Court Ruling: OKLAHOMA V. CASTRO-HUERTA (Group B),Typical Court Votes,Justice Tenure,Last Say in Conflict of Meaning,Justice Selection,Current Chief Justice,Most Recent Justice,Republican Appointed Justices,Appointing President Partisanship Effects,How much do you approve of the performance of the Supreme Court?,Judges at odds with the people should be removed,U.S. Supreme Court is too independent,"If the U.S. Supreme Court started making a lot of decisions that most people disagree with, it might be better to do away with the Supreme Court altogether",The U.S. Supreme Court gets too mixed up in politics,The U.S. Supreme Court can be trusted to make right decisions,Respondent Ideology,Court Ideology,Increase Court Size,Limit Court Terms,Closeness to Ketanji Brown Jackson,Senate and Consideration to Nominees,Should Ketanji Brown Jackson be Approved,"Appropriateness of ""Shadow Docket"" Rulings",Political Interest,Most watched cable news network,Ideology - 3 categories,Ideology - 5 categories,Voter Registration Status,Voter Registration - 2 categories,Party ID - 3 categories,Party ID - 7 categories,2020 Turnout,2020 President Vote Post Election,Gender,Birth Year,Age,Age - 4 categories,Race,Race - 4 categories,Educational Attainment,Education - 4 categories,Marital Status,Children Under 18,State of Residence,Census Region,Area Type,Own or Rent Home,Employment status among non-students,Family income,Family Income - 3 categories,Military Household - I am,Military Household - Family,Military Household - I served previously,Military Household - Family served previously,Military Household - None,"Yes, I am","Yes, household member is",No,Volunteer Activities,Importance of Religion,Church Attendance,Born Again,Prayer Frequency,Affiliation,A/B Randomization,Questionnaire Start Time,Questionnaire End Time,Questionnaire Last Modified Time,Case ID,weight
.,.,1,2,2,2,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,1,.,.,2,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,2,1,2,2,2,4,5,5,3,2,3,3,4,2,3,67.0,64.0,5,3,2,1,2,2,2,5,2,3,1,1,3,4,1,2,2,1959.0,62.0,3,1,1,5,3,5,2,4,4,1,1,1,97,4,2,1,2,1,2,2,2,1,2,4,6,2,7,11,2,2022-03-31 19:32:33.510000,2022-03-31 19:49:01.677000,2022-03-31 19:49:01.010000,1770392589.0,0.959857658992992
.,.,1,1,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,5,1,3,3,4,5,9,3,5,1,3,1,1,4,98.0,98.0,5,1,2,1,2,2,7,2,4,6,2,2,2,6,2,6,2,1996.0,25.0,1,4,4,3,2,1,1,26,2,4,2,7,1,1,2,2,2,2,1,2,1,2,2,1,7,2,8,2,2,2022-03-31 19:39:10.464000,2022-03-31 19:49:37.249000,2022-03-31 19:49:37.124000,1770395521.0,1.05582259828507
2,2,.,.,1,1,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,2,2,2,4,5,7,1,2,5,5,5,2,2,100.0,54.0,5,5,2,1,2,2,1,5,3,5,1,1,2,7,1,2,2,1961.0,60.0,3,1,1,2,1,1,2,51,3,2,1,6,8,2,2,2,2,2,1,2,2,1,2,2,5,2,6,11,1,2022-03-31 19:34:02.224000,2022-03-31 19:49:50.954000,2022-03-31 19:49:46.144000,1770392743.0,0.966699729756467
1,2,.,.,2,1,2,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,2,2,2,4,5,6,3,5,3,2,5,2,4,40.0,91.0,1,1,1,1,1,2,1,3,1,2,1,1,1,1,1,1,1,1966.0,56.0,3,1,1,5,3,1,1,4,4,2,1,1,9,2,2,2,1,2,2,2,2,1,1,4,5,2,6,10,1,2022-03-31 19:39:22.496000,2022-03-31 19:51:30.403000,2022-03-31 19:51:25.993000,1770395543.0,1.15179052643136
1,1,.,.,2,2,2,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,2,2,4,5,6,1,4,3,3,3,3,3,7.0,88.0,2,2,1,1,1,2,1,5,1,1,1,1,1,1,1,1,1,1970.0,51.0,3,1,1,5,3,1,1,18,2,2,1,2,6,2,2,2,2,2,1,2,2,1,2,4,6,2,7,10,1,2022-03-31 19:38:14.448000,2022-03-31 19:52:51.367000,2022-03-31 19:52:50.662000,1770395419.0,0.988231639562221
.,.,2,1,2,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,2,2,2,1,2,4,1,6,1,2,3,2,3,1,2,71.0,61.0,3,4,2,1,1,1,2,5,2,3,2,2,1,2,2,6,2,1994.0,27.0,1,1,1,3,2,1,1,5,3,3,1,.,4,1,2,2,2,2,1,2,2,1,2,2,5,2,3,1,2,2022-03-31 19:40:14.602000,2022-03-31 19:53:39.435000,2022-03-31 19:53:39.278000,1770395673.0,0.804774211612067
1,1,.,.,2,2,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,3,1,2,1,2,5,9,3,3,3,3,3,3,3,53.0,53.0,3,3,3,1,1,2,4,2,4,6,2,2,5,4,2,6,2,1958.0,63.0,3,1,1,5,3,3,2,36,1,4,1,6,1,1,2,2,2,1,2,2,2,1,2,2,5,2,2,1,1,2022-03-31 19:40:16.985000,2022-03-31 19:54:02.508000,2022-03-31 19:53:56.560000,1770395681.0,0.734953008150158
.,.,2,1,2,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,1,2,2,2,3,4,1,3,4,3,1,3,3,3,22.0,36.0,3,3,2,2,2,2,7,1,4,6,1,1,5,8,2,6,2,1999.0,22.0,1,2,2,3,2,5,.,13,3,1,2,4,97,4,2,2,2,2,1,2,2,1,2,4,7,2,8,11,2,2022-03-31 19:49:53.354000,2022-03-31 19:54:08.924000,2022-03-31 19:53:59.648000,1770410763.0,0.756565412113867
.,.,1,1,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,2,2,2,2,4,5,6,1,4,3,3,2,2,4,26.0,76.0,2,1,1,1,1,2,1,5,1,2,1,1,1,2,1,1,2,1954.0,67.0,4,2,2,5,3,5,2,13,3,2,1,5,5,1,2,2,2,2,1,2,2,1,2,4,5,2,6,11,2,2022-03-31 19:29:42.877000,2022-03-31 19:56:14.692000,2022-03-31 19:56:06.046000,1770392217.0,0.551011354433231
2,2,.,.,1,1,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,4,2,1,2,4,5,7,3,2,2,3,2,2,4,51.0,51.0,4,2,3,2,1,2,3,2,2,3,2,2,3,4,2,6,2,1949.0,73.0,4,1,1,2,1,4,2,18,2,4,2,5,4,1,2,2,2,1,2,2,2,1,2,1,7,2,1,2,1,2022-03-31 19:33:58.899000,2022-03-31 19:57:32.805000,2022-03-31 19:57:25.658000,1770392733.0,1.00435819224835
1,2,.,.,2,1,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,2,2,4,5,5,5,5,3,1,5,2,4,50.0,89.0,1,1,1,1,1,2,1,3,2,3,1,1,1,1,1,1,2,1950.0,72.0,4,2,2,6,4,3,2,6,4,2,1,5,2,1,2,2,2,1,2,2,2,1,2,3,5,2,6,1,1,2022-03-31 19:32:31.851000,2022-03-31 19:57:46.475000,2022-03-31 19:57:37.447000,1770392581.0,0.903241457543991
1,1,.,.,1,2,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,3,2,4,5,5,2,4,2,2,4,1,4,90.0,45.0,5,2,2,1,2,1,1,5,3,5,1,1,2,7,1,2,2,1977.0,44.0,2,1,1,3,2,5,2,29,2,4,2,6,1,1,2,2,1,1,2,2,2,1,2,2,5,1,1,12,1,2022-03-31 19:48:47.110000,2022-03-31 20:01:09.338000,2022-03-31 20:01:08.680000,1770408791.0,1.54816143370627
2,2,.,.,2,1,1,1,.,.,2,1,.,.,1,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,2,2,2,2,1,8,3,2,1,2,3,2,2,57.0,32.0,5,1,3,1,1,1,2,5,4,6,2,2,5,4,2,6,2,1953.0,69.0,4,1,1,4,2,4,2,21,3,4,1,5,3,1,2,2,2,1,2,2,2,1,2,2,6,1,5,1,1,2022-03-31 19:42:30.234000,2022-03-31 20:01:57.008000,2022-03-31 20:01:53.641000,1770402953.0,0.746289218372515
.,.,1,1,2,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,2,2,3,2,2,2,5,4,3,3,4,2,1,1,2,5,50.0,30.0,4,1,2,1,2,2,4,5,2,3,2,2,2,7,2,6,1,1997.0,24.0,1,1,1,2,1,5,2,21,3,4,1,4,5,1,2,2,2,2,1,2,2,1,2,4,6,2,7,9,2,2022-03-31 19:47:48.727000,2022-03-31 20:05:09.722000,2022-03-31 20:05:09.523000,1769440591.0,0.967511460576337
.,.,1,1,2,1,.,.,2,1,.,.,2,1,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,2,2,2,2,2,4,5,6,1,5,3,4,4,3,4,19.0,84.0,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,2,1961.0,61.0,3,1,1,3,2,5,.,42,1,2,1,6,97,4,2,2,2,1,2,2,2,1,2,4,6,2,1,11,2,2022-03-31 19:39:36.760000,2022-03-31 20:05:28.152000,2022-03-31 20:05:10.378000,1770395575.0,1.16693229608982
1,2,.,.,2,1,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,2,2,4,5,6,3,3,2,2,4,1,3,56.0,92.0,2,1,3,1,1,2,1,1,2,3,1,1,3,3,1,1,1,1961.0,60.0,3,1,1,3,2,4,2,29,2,1,2,6,3,1,2,2,2,1,2,2,2,1,2,1,5,2,1,1,1,2022-03-31 19:50:21.658000,2022-03-31 20:07:13.490000,2022-03-31 20:07:12.836000,1770412011.0,0.798992867947421
.,.,2,2,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,1,1,2,2,4,5,5,1,5,3,3,5,1,3,50.0,26.0,5,2,2,2,2,2,1,2,2,3,1,1,3,4,1,2,2,1989.0,33.0,2,1,1,4,2,4,1,11,3,2,1,1,9,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2022-03-31 19:47:51.358000,2022-03-31 20:08:29.688000,2022-03-31 20:08:26.197000,1770408583.0,1.16402196539475
.,.,2,1,1,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,1,2,2,2,2,4,5,6,4,2,4,4,5,3,2,54.0,66.0,2,2,3,1,1,2,2,4,2,3,1,1,3,3,1,1,1,1966.0,55.0,3,1,1,3,2,5,2,13,3,2,1,6,3,1,2,2,2,2,1,2,2,1,2,3,5,2,6,1,2,2022-03-31 19:53:28.261000,2022-03-31 20:10:01.993000,2022-03-31 20:09:57.827000,1770412389.0,0.744839737160854
.,.,1,1,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,3,3,2,3,4,2,4,5,3,3,3,3,3,3,61.0,51.0,3,3,3,1,2,2,3,2,3,4,2,2,3,4,2,6,2,1951.0,70.0,4,1,1,4,2,5,2,9,1,4,1,5,3,1,2,2,2,1,2,2,2,1,1,2,5,2,1,2,2,2022-03-31 20:01:59.301000,2022-03-31 20:14:31.195000,2022-03-31 20:14:30.420000,1770415257.0,0.705363614960114
.,.,1,2,2,1,.,.,2,1,.,.,2,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,2,2,2,2,4,5,6,2,4,4,4,4,2,4,8.0,66.0,4,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,2002.0,19.0,1,1,1,3,2,5,.,6,4,1,1,.,10,3,2,2,2,2,1,2,1,2,1,4,5,2,7,11,2,2022-03-31 19:11:00.409000,2022-03-31 20:15:40.680000,2022-03-31 20:15:28.272000,1770375827.0,1.01946618927291
.,.,1,2,2,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,1,2,2,2,4,5,6,1,5,1,3,4,2,3,50.0,75.0,3,1,1,1,1,2,1,1,2,3,1,1,3,4,1,1,1,1963.0,58.0,3,1,1,4,2,1,2,6,4,2,1,5,10,3,2,2,2,1,2,2,2,1,2,4,5,2,6,11,2,2022-03-31 19:37:13.149000,2022-03-31 20:16:16.256000,2022-03-31 20:16:06.030000,1770395281.0,0.931231483739717
1,1,.,.,1,1,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,3,2,1,1,2,4,3,3,3,4,4,3,3,3,36.0,53.0,4,3,2,1,1,2,2,3,2,3,3,2,3,4,2,6,2,1979.0,42.0,2,4,4,4,2,1,2,6,4,4,2,.,5,1,2,1,2,2,2,2,1,2,1,3,3,2,4,2,1,2022-03-31 20:14:31.449000,2022-03-31 20:18:07.021000,2022-03-31 20:18:04.173000,1770431113.0,1.40741012037752
.,.,1,1,1,2,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,1,.,.,2,1,.,.,2,2,1,3,1,3,5,5,9,3,3,2,1,1,3,3,65.0,63.0,2,1,3,1,2,1,4,5,4,6,2,2,5,4,2,6,2,1986.0,35.0,2,1,1,2,1,5,2,18,2,4,3,4,97,4,2,2,2,2,1,2,2,1,2,2,7,2,8,11,2,2022-03-31 20:14:37.242000,2022-03-31 20:20:51.221000,2022-03-31 20:20:47.056000,1770431123.0,0.990387205620939
1,1,.,.,2,2,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,2,2,4,5,6,1,2,4,4,4,2,2,10.0,71.0,2,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1965.0,57.0,3,1,1,4,2,3,2,17,2,1,2,6,1,1,2,2,2,1,2,2,2,1,2,2,5,1,6,1,1,2022-03-31 20:12:37.632000,2022-03-31 20:27:52.382000,2022-03-31 20:27:51.726000,1770430895.0,0.959782410334272
2,2,.,.,1,1,2,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,4,1,2,1,4,3,6,3,2,3,3,2,2,2,51.0,52.0,3,3,3,1,1,2,2,1,2,3,1,1,3,4,1,1,1,1992.0,30.0,2,1,1,2,1,1,2,32,4,1,1,2,6,2,2,2,2,1,2,2,2,1,2,2,5,2,6,12,1,2022-03-31 19:55:32.937000,2022-03-31 20:28:00.338000,2022-03-31 20:28:00.226000,1770412673.0,1.10400885893399
.,.,1,2,1,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,2,3,2,3,3,3,3,6,3,2,2,3,2,3,3,46.0,72.0,2,2,2,2,2,1,3,2,3,4,1,1,2,6,1,2,2,1994.0,27.0,1,1,1,2,1,5,2,13,3,4,2,.,97,4,2,2,2,2,1,2,2,1,2,4,7,2,7,11,2,2022-03-31 20:27:45.626000,2022-03-31 20:30:39.719000,2022-03-31 20:30:39.505000,1770440029.0,0.838777389866481
.,.,1,1,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,1,2,2,2,4,5,5,5,3,3,3,4,3,3,51.0,51.0,3,3,3,1,1,1,3,5,4,6,2,2,5,4,2,6,1,1949.0,73.0,4,4,4,6,4,5,2,6,4,2,1,.,3,1,2,2,2,2,1,2,2,1,2,3,6,2,7,11,2,2022-03-31 20:06:06.025000,2022-03-31 20:31:22.919000,2022-03-31 20:31:16.809000,1770417789.0,1.3344680536589
2,1,.,.,1,2,1,2,.,.,1,2,.,.,1,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,2,2,2,1,5,4,1,2,2,1,4,1,4,86.0,28.0,5,3,2,2,2,2,2,2,3,4,1,1,2,6,1,2,2,1997.0,24.0,1,1,1,5,3,1,2,37,3,1,2,.,3,1,2,2,2,2,1,2,2,1,1,1,1,1,2,1,1,2022-03-31 19:59:45.592000,2022-03-31 20:34:34.903000,2022-03-31 20:34:34.795000,1770415003.0,0.808292378756805
1,1,.,.,1,2,2,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,2,2,1,4,5,2,3,5,4,5,3,2,54.0,51.0,4,1,3,1,1,2,2,5,2,3,2,2,5,5,2,6,2,1955.0,66.0,4,1,1,2,1,1,2,37,3,2,2,7,3,1,2,2,2,2,1,2,2,1,2,4,6,2,8,12,1,2022-03-31 19:52:16.790000,2022-03-31 20:35:17.815000,2022-03-31 20:35:10.621000,1770412219.0,0.728537212792599
2,1,.,.,2,1,2,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,1,.,.,2,2,2,1,3,3,6,3,2,2,2,2,2,2,35.0,62.0,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1975.0,46.0,3,1,1,2,1,5,1,19,2,2,1,2,4,1,2,2,2,2,1,2,2,1,1,2,3,1,3,2,1,2022-03-31 20:28:19.194000,2022-03-31 20:39:13.741000,2022-03-31 20:39:12.798000,1770440101.0,0.936952035347861
.,.,2,2,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,2,2,2,2,4,5,4,2,1,5,5,5,4,2,97.0,78.0,5,5,2,1,2,1,1,2,3,5,1,1,2,7,1,2,2,1949.0,72.0,4,3,3,6,4,4,2,12,3,2,1,5,4,1,2,2,2,1,2,2,1,2,1,1,1,1,1,2,2,2022-03-31 20:21:32.731000,2022-03-31 20:39:01.124000,2022-03-31 20:39:00.377000,1770437115.0,0.307772826107448
1,2,.,.,2,1,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,2,2,4,5,6,1,3,4,5,4,2,3,50.0,85.0,1,4,3,1,1,2,2,5,2,3,1,1,1,2,1,1,1,1983.0,39.0,2,1,1,4,2,1,2,13,3,1,1,1,15,3,2,2,2,1,2,2,2,1,1,4,6,2,7,9,1,2022-03-31 20:05:35.301000,2022-03-31 20:41:33.904000,2022-03-31 20:41:30.602000,1770417741.0,1.08658337847124
.,.,2,1,1,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,2,4,3,2,2,5,3,5,3,4,5,2,4,4,3,55.0,82.0,3,3,2,2,1,1,3,2,1,2,2,2,3,4,2,6,2,1995.0,26.0,1,4,4,5,3,5,2,36,1,4,2,.,4,1,2,2,2,2,1,2,2,1,2,3,5,2,3,6,2,2022-03-31 20:41:25.696000,2022-03-31 20:44:41.656000,2022-03-31 20:44:41.551000,1770446981.0,0.720287201528076
.,.,1,2,2,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,2,2,2,2,4,5,6,1,5,3,4,4,2,3,26.0,84.0,3,3,1,1,1,2,1,5,2,3,1,1,3,3,1,1,1,1970.0,52.0,3,1,1,2,1,1,1,27,2,1,1,3,11,3,2,2,2,2,1,2,2,1,2,4,6,2,7,11,2,2022-03-31 18:35:43.608000,2022-03-31 21:36:39.119000,2022-03-31 21:36:38.466000,1770350079.0,0.779987198964223
1,1,.,.,2,1,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,2,2,4,5,5,4,2,5,5,5,4,2,48.0,39.0,4,3,3,1,1,1,1,1,2,3,1,1,3,5,1,1,2,1964.0,57.0,3,2,2,6,4,5,2,6,4,1,2,1,13,3,2,2,2,2,1,1,2,2,2,3,4,2,4,1,1,2022-03-31 18:21:56.567000,2022-04-01 05:06:55.282000,2022-04-01 05:06:48.402000,1770345845.0,0.692520438659807
.,.,1,1,1,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,3,3,2,3,5,5,10,5,3,3,2,3,3,3,50.0,50.0,3,3,3,1,1,2,3,5,1,2,2,2,5,4,2,6,2,1961.0,61.0,3,1,1,1,1,4,2,18,2,2,2,6,2,1,2,2,2,1,2,2,2,1,2,1,2,1,1,1,2,2022-03-31 20:12:48.950000,2022-03-31 20:48:24.562000,2022-03-31 20:48:20.833000,1770430921.0,0.823424864158676
